pH,Temperature,Dissolved Oxygen,Electrical Conductivity,Turbidity,Nitrogen,Phosphorus,Potassium,Water Hardness,Label
5.3,24,6.7,2,1.9,17,6,19,110,1
5.4,24,4.1,3.1,2,12,2,17,42,0
7.4,18,8.4,1.9,0.6,5,6,24,63,1
5.8,23,5,3,1.8,6,4,22,85,0
6.9,15,6.7,3.2,1.7,13,6,15,70,1
7,22,4.4,2.4,0.9,18,5,21,51,0
6.8,17,6.3,1.2,1.8,11,2,20,79,1
7.4,22,4.1,2.3,1.1,7,2,24,71,0
6.4,23,5.6,3.4,1.1,12,6,24,72,1
6.9,23,6.6,2.1,1.5,14,5,17,89,0
5.1,17,6.2,3.2,0.6,10,3,17,63,1
7.4,25,4.5,1.4,1.3,11,6,17,73,0
5.3,17,4.6,2.1,0.6,17,2,21,48,1
6.2,24,6.9,1.3,1.1,18,3,15,55,0
5.8,24,6.1,1.7,0.7,20,5,15,72,1
6.6,20,6.6,2.8,0.7,6,4,24,105,0
5.2,20,5.7,1.3,0.8,11,4,21,48,1
5.1,22,7.3,2.3,1.6,6,3,20,117,0
6.1,15,4.2,2.7,1.7,19,2,22,110,1
6.8,25,8.3,2.4,1.1,17,4,17,110,0
6.3,21,6.8,1.8,1.7,20,4,19,53,1
5.9,19,5.7,1.9,1.3,12,3,22,53,0
6.8,18,5.3,2.9,0.6,18,6,23,105,1
7,16,7,2.4,1.4,18,3,24,82,0
7.4,17,5.1,2.1,1.8,10,2,15,45,1
6.6,24,7.8,1.5,1,18,2,16,71,0
5.8,19,5.8,1.7,1,17,4,17,50,1
5.5,21,8.2,1.9,0.8,19,6,17,85,0
5.9,20,5.7,1.9,1.2,20,5,19,119,1
6.8,16,5.4,1.6,1.7,13,4,19,50,0
6.4,23,7.9,3.3,0.7,15,5,24,48,1
5.8,16,4.9,1.7,1.2,13,4,17,101,0
5.6,25,6.7,3.3,1.3,10,5,15,67,1
5.2,21,8,2,0.6,12,5,22,89,0
5,23,5.9,1.8,1.6,14,5,21,91,1
7.2,18,6.4,2.5,1.8,17,2,23,48,0
5.3,20,6.5,3.1,1.9,13,2,20,44,1
7.3,24,6.3,1.7,1.8,20,2,17,111,0
6.8,22,7.9,2.9,1.6,12,6,16,95,1
5.7,22,6,1.6,2,6,6,21,90,0
7.4,16,7.3,1.5,0.7,12,4,22,56,1
5.4,16,6.4,3.1,1.8,18,6,17,84,0
5,18,5.9,2.2,1.7,17,2,16,64,1
6.3,24,6.4,2.2,1,15,2,20,110,0
7.5,15,4.1,3,1.7,15,3,18,54,1
7,21,5,1.4,1.8,14,6,16,89,0
7.2,15,6.8,2.7,0.7,11,2,21,72,1
5.2,25,7.5,2.9,1.8,7,5,21,104,0
5.8,22,6.3,2.1,1.9,16,3,20,95,1
7.2,21,5.9,3.5,0.6,18,2,16,79,0
6.3,18,6.9,1.9,1.9,9,5,17,109,1
6.9,21,4.1,1.4,0.9,9,2,21,79,0
6.6,16,6.9,2.8,0.8,13,5,21,72,1
6.7,25,6.8,2.7,1.3,5,4,22,102,0
5.6,24,5.5,1.7,1.7,10,3,21,118,1
6.2,19,7.2,1.8,1.3,11,2,15,65,0
6.5,18,4.2,3.3,1.3,12,2,23,88,1
5.7,25,8.1,3.5,0.5,13,5,23,63,0
5.9,22,4.1,3.3,0.8,6,5,24,83,1
6.2,15,7.6,3.3,1.6,7,5,19,62,0
6.6,20,5.6,1.1,0.9,14,3,18,50,1
7.3,23,7.8,1.6,1.7,8,2,20,118,0
6.1,18,8.3,1.4,0.8,10,4,24,81,1
6.1,25,6.1,2.2,1.4,6,2,21,62,0
6.5,25,6.8,1.4,0.8,9,5,18,92,1
5.3,16,5,3,0.8,19,2,15,57,0
6.8,25,6.1,3,1.3,15,2,19,74,1
6.4,17,7.3,2.7,0.7,13,5,17,54,0
7.5,18,5.3,3,1.6,17,5,18,45,1
5.2,25,7.3,1.7,1.6,17,6,18,107,0
5.1,23,7.7,1.8,1.1,9,2,17,87,1
5.1,24,7,1.6,1.1,10,3,23,46,0
6.5,17,7.1,1.2,1.9,12,3,21,71,1
5.7,20,4.1,3.1,0.8,19,2,18,81,0
6,16,7.7,2.3,1,5,3,24,44,1
6.2,22,7.7,2.6,0.7,5,4,21,61,0
6.1,22,4.5,2.5,1.1,8,4,23,86,1
6.4,24,7,1.8,1.5,7,4,21,41,0
5.5,20,7.6,1.4,1.8,5,6,16,106,1
5.1,23,4.6,1.1,1.1,11,4,24,91,0
6.3,21,4.3,1.9,1.8,7,3,16,92,1
7,23,4,2.4,1.5,5,2,21,117,0
6.2,15,6.5,3.1,1,13,5,21,99,1
6.8,16,7.3,2.4,1.1,20,2,23,114,0
6.6,17,4.7,2.5,1.9,16,3,24,92,1
5.7,22,6.6,2.7,1.8,13,6,21,62,0
5.9,15,5.8,2.1,1.8,12,3,16,43,1
5.1,17,8,2.8,1.5,6,4,17,99,0
5.6,22,5.2,2,1.3,7,3,20,82,1
6.2,19,4.3,3.3,0.6,17,5,20,109,0
6.4,22,8.2,1.8,1,5,2,17,82,1
5.2,23,4.8,1.8,1.9,6,2,22,114,0
5.3,16,7.7,1.3,1.4,10,5,15,88,1
5.8,19,8.1,2.4,1.6,13,4,19,59,0
6.6,22,4.1,1.9,0.9,16,3,23,77,1
5.2,21,4.2,1.5,1.9,20,5,24,56,0
7.1,17,6.5,2.5,1,13,4,23,59,1
5.8,25,7.9,1.1,1.3,13,6,17,43,0
6.9,21,6.4,3,0.9,6,3,16,105,1
5,15,4.4,3.5,2,19,6,18,94,0
5.7,18,4.6,2.8,0.7,20,2,22,63,1
6.1,22,4.7,1.8,1.6,20,5,19,95,0
5.8,24,5.2,2.4,0.8,9,5,20,106,1
7.4,20,5.9,3.1,1,9,4,24,87,0
5.8,16,7.1,1.4,1.5,18,6,22,116,1
5.6,19,8.1,3.5,1.9,12,2,17,83,0
6,19,5.5,3.3,0.6,20,2,21,65,1
5,15,7,3.3,0.7,17,2,22,64,0
6.2,15,6.3,1.2,1.5,18,2,23,86,1
7.3,20,5.6,1.1,1,20,4,24,70,0
6.3,17,5.7,2.3,1.3,12,2,22,112,1
5.7,23,4.3,1.8,0.6,19,4,19,60,0
7.3,25,6.6,1.6,2,12,4,23,65,1
6,25,7.9,1.6,1.7,10,4,24,100,0
6.4,16,4.2,1.4,1.6,19,2,17,94,1
6.6,21,4.6,1.9,0.6,11,6,16,101,0
5.8,16,7.3,2,1.9,5,3,21,50,1
5.2,16,4.6,1.5,0.5,7,2,17,42,0
5.9,16,8.5,2.1,2,16,3,24,84,1
5.1,24,6.5,2.7,0.9,10,3,21,95,0
6.2,21,6.9,1.2,1.3,7,4,22,55,1
7.1,23,4.5,1.8,1.4,7,3,21,82,0
5.1,15,8.4,2.6,1.7,10,6,24,96,1
7.4,21,5.1,1.4,1.6,7,3,21,50,0
5.8,16,6.1,2.9,0.9,19,3,21,75,1
7.2,17,5.7,1.6,1.4,5,4,24,47,0
6.4,23,7.8,1.8,0.7,19,3,16,41,1
6.6,18,8.2,1.1,1.7,17,2,18,46,0
7.1,18,8.2,3.2,1.4,11,3,21,75,1
7.5,25,5.8,3.2,1.8,19,4,19,117,0
6.8,20,4.3,1,1.7,16,3,23,101,1
6.2,18,7.4,1.9,1.7,13,3,17,63,0
7.4,20,8,1.6,0.8,10,6,23,114,1
5.9,22,6.4,2.5,1,6,6,15,96,0
7.5,24,5.4,1.1,1,16,5,22,56,1
6.7,22,6.2,3.3,1.9,16,4,23,82,0
5.6,19,4.3,1.7,1.2,13,4,21,98,1
6.5,18,5.5,1.6,1.6,13,6,15,41,0
6,23,5.1,2.2,1.8,10,2,22,116,1
7.2,15,5.5,3.2,0.8,17,4,24,67,0
5.2,20,6.2,2.2,1.1,9,6,21,64,1
5.3,23,7.3,3,0.7,10,6,19,90,0
5.3,25,8.3,2.4,0.6,10,4,21,97,1
6.2,21,5.9,2.5,1.7,9,6,15,115,0
7.5,20,7.2,2.5,0.6,17,2,20,67,1
5,17,4.5,2.1,1.9,14,3,17,112,0
6.1,20,5,2.4,0.8,14,6,22,54,1
5.7,18,5.9,2.8,1.2,12,2,18,77,0
6.2,19,6.1,1.2,1.1,8,3,24,78,1
6,24,7.6,1.5,0.6,17,6,22,102,0
5.8,15,5,2.5,1.7,5,4,20,106,1
7.1,22,7.5,2.6,1.4,6,6,19,42,0
6.6,23,6.6,1.8,1.2,17,2,18,68,1
5.3,25,8.4,2.9,1.1,5,5,17,116,0
6,17,5.9,3.2,1.8,13,4,19,71,1
5.5,17,7.1,2.3,0.6,15,5,20,79,0
