pH,Temperature,Dissolved Oxygen,Electrical Conductivity,Turbidity,Nitrogen,Phosphorus,Potassium,Water Hardness,Label
14.66,31.04,17.81,1805.27,7.68,57.54,21.4,-0.45,52.82,0
4.44,28.15,14.79,1809.79,8.8,14.52,19.09,27.91,55.32,0
5.89,22.58,9.5,1799.57,4.37,41.37,9.43,12.02,70.56,1
9.23,33.29,15.84,1190.14,-7.05,55.0,17.63,-0.74,52.55,0
6.13,22.72,9.28,1582.86,2.25,35.72,6.09,15.61,79.2,1
5.78,20.03,8.53,1544.83,3.05,36.26,9.16,10.06,83.5,1
10.76,33.73,19.34,1801.49,5.98,59.83,20.59,29.29,120.18,0
6.24,21.74,7.73,1770.39,3.98,27.79,5.35,16.65,111.81,1
13.58,31.71,14.37,1805.17,-8.58,54.38,15.62,23.55,124.27,0
3.28,13.72,-1.39,1197.83,-6.75,59.52,20.56,29.34,51.29,0
6.43,22.29,7.72,1422.89,1.85,22.89,12.41,14.91,113.71,1
6.34,20.39,6.07,1615.61,3.55,44.94,14.08,6.73,96.32,1
6.2,24.55,8.11,1281.85,2.39,21.8,14.43,18.82,72.3,1
5.96,24.44,9.65,1538.83,2.4,40.58,10.81,7.66,66.91,1
5.91,23.77,8.68,1221.63,2.47,37.02,13.81,13.22,118.98,1
5.55,22.5,7.87,1756.21,2.27,22.01,13.4,13.73,60.39,1
3.82,25.47,14.83,1194.67,8.28,56.04,16.57,20.56,121.88,0
15.89,16.89,5.46,1808.79,8.63,14.89,15.24,21.51,56.89,0
0.17,17.14,1.15,1808.72,-5.1,57.49,-0.51,22.44,128.92,0
5.94,24.69,6.22,1348.76,2.52,21.84,6.63,8.46,109.1,1
1.79,11.98,13.76,1191.76,10.43,10.55,-4.67,28.76,121.62,0
15.36,16.33,13.86,1801.16,-0.65,55.44,-4.36,27.37,50.88,0
6.25,20.56,9.71,1438.76,2.76,22.71,7.4,13.37,82.1,1
6.1,22.31,6.87,1520.02,4.04,48.62,12.73,5.54,67.48,1
13.78,27.78,-3.66,1807.28,7.45,53.4,20.13,25.62,54.89,0
8.06,13.69,-3.91,1195.33,-7.78,12.22,23.8,24.65,52.86,0
6.19,22.57,7.28,1529.35,4.52,26.11,10.57,17.33,87.84,1
-2.23,31.16,2.14,1808.55,11.45,16.04,15.72,3.38,124.35,0
13.79,18.92,-3.84,1190.83,11.48,52.97,-2.43,24.37,122.23,0
-3.36,16.22,16.39,1194.96,-5.49,51.54,-5.0,27.24,51.25,0
6.26,20.56,8.14,1713.03,1.44,45.73,9.52,14.99,117.23,1
9.92,28.18,5.28,1801.9,13.88,54.33,17.83,29.66,56.96,0
3.2,32.58,11.29,1806.46,13.84,10.42,-2.08,28.15,124.17,0
6.21,22.67,8.78,1777.57,1.53,48.52,7.05,6.4,61.21,1
5.55,24.08,9.38,1648.85,3.04,45.19,13.36,14.74,79.13,1
7.27,27.88,11.65,1194.42,11.29,16.05,1.78,-1.88,58.44,0
5.7,22.25,7.12,1774.71,2.12,21.45,11.74,12.36,80.45,1
6.38,23.99,7.23,1718.92,3.25,45.72,13.69,16.87,110.55,1
5.56,20.54,6.83,1781.55,4.09,24.92,14.81,16.04,88.57,1
6.37,20.33,8.27,1609.58,1.26,28.15,11.33,13.41,82.61,1
9.71,34.89,14.19,1197.08,-1.56,56.51,19.27,29.27,129.51,0
6.48,20.32,9.49,1613.65,3.25,29.8,8.28,10.69,60.47,1
6.41,22.08,7.53,1434.93,4.01,36.49,11.01,10.77,70.59,1
1.02,29.17,18.08,1193.04,5.88,18.25,16.74,28.29,128.52,0
14.0,34.05,12.86,1193.29,14.57,54.53,22.31,21.66,123.81,0
13.9,19.57,4.26,1191.01,-0.84,51.73,16.55,1.25,126.18,0
-2.0,29.27,14.32,1803.66,0.23,16.21,18.07,23.61,128.03,0
6.16,22.9,8.59,1655.07,2.51,29.0,11.57,15.51,119.56,1
6.23,24.43,7.14,1299.53,2.86,41.53,11.68,19.88,91.86,1
-4.35,16.14,0.68,1193.79,-5.17,12.59,-3.78,0.09,121.85,0
-3.64,14.73,10.7,1807.54,-3.08,16.33,4.89,22.86,56.02,0
15.29,15.0,-1.04,1192.63,11.02,16.85,19.56,29.82,128.56,0
12.04,28.1,18.5,1192.66,8.7,19.64,-4.11,20.49,53.71,0
8.82,26.26,2.73,1801.05,8.86,12.92,0.34,27.28,53.14,0
0.01,11.37,10.9,1801.35,-6.63,52.3,15.39,28.31,56.52,0
11.57,16.17,18.48,1198.63,-8.04,52.35,-4.84,28.82,52.06,0
5.76,24.6,9.45,1389.91,4.01,22.1,12.05,19.57,108.25,1
10.68,14.78,5.06,1190.24,-4.08,59.2,-4.53,25.43,127.57,0
6.46,20.89,9.3,1494.23,4.05,37.5,11.67,15.81,94.23,1
-1.27,14.44,14.11,1197.11,-5.47,50.96,-0.57,21.11,121.44,0
6.08,23.23,8.11,1732.91,4.89,32.04,13.03,15.04,119.08,1
0.02,30.4,-3.63,1807.01,13.01,11.03,24.32,-1.78,125.64,0
11.17,15.58,16.71,1805.57,-1.79,53.22,23.1,0.19,122.26,0
5.65,22.18,9.52,1235.82,3.0,48.65,11.38,12.49,112.53,1
3.89,31.84,5.22,1806.16,0.29,14.75,-1.44,-1.65,125.82,0
15.22,18.42,11.56,1802.84,-6.3,58.58,-1.09,28.36,122.55,0
6.38,24.13,8.53,1556.32,3.3,46.66,7.69,15.64,115.4,1
6.12,24.38,8.56,1774.97,1.62,42.17,13.09,19.24,116.76,1
-1.64,28.7,-2.71,1198.41,-5.2,15.39,-0.06,27.09,50.14,0
6.47,22.68,8.78,1689.45,1.51,46.55,7.69,11.34,67.88,1
13.58,25.36,14.76,1808.14,13.15,59.41,3.35,-3.25,55.79,0
5.75,20.94,7.6,1671.69,3.96,31.58,7.65,9.3,103.58,1
5.86,21.24,8.51,1744.32,2.79,46.82,14.62,16.33,60.03,1
6.25,20.77,7.7,1730.14,1.48,35.63,13.19,16.15,88.66,1
8.55,11.1,12.56,1805.26,-5.88,54.72,24.75,25.34,58.22,0
5.86,22.67,6.66,1484.53,3.7,36.0,13.64,6.43,106.57,1
10.02,34.44,18.58,1195.65,13.48,10.86,21.05,-1.93,51.55,0
-2.34,34.49,-1.32,1806.01,7.26,55.89,19.73,27.64,121.89,0
5.59,23.01,8.36,1626.64,3.94,30.36,12.07,19.0,79.93,1
5.65,24.98,9.44,1617.19,4.72,49.95,6.6,5.51,102.49,1
6.3,24.72,8.39,1473.44,2.36,41.65,14.61,7.29,60.73,1
-3.01,34.82,3.63,1806.81,6.03,11.61,0.45,3.13,128.9,0
7.39,29.67,13.34,1809.46,-2.43,18.05,16.7,20.22,55.86,0
6.09,20.71,8.53,1433.77,2.81,22.78,10.52,12.77,66.29,1
5.88,20.74,8.68,1372.69,2.45,41.33,9.94,9.72,84.54,1
8.77,29.52,17.38,1194.32,-4.27,15.94,23.38,26.84,127.34,0
3.58,30.32,3.91,1805.58,13.36,57.94,0.16,27.02,124.26,0
-1.17,18.93,2.91,1191.83,-5.91,14.89,-3.37,20.69,121.52,0
5.91,24.97,8.5,1284.89,2.61,41.92,8.71,11.8,63.78,1
6.47,21.48,9.49,1635.36,4.92,32.57,8.04,14.61,93.62,1
8.25,12.01,3.23,1801.84,6.95,17.35,-4.33,-0.09,122.19,0
