pH,Temperature,Dissolved Oxygen,Electrical Conductivity,Turbidity,Nitrogen,Phosphorus,Potassium,Water Hardness,Label
0.72,31.99,3.53,1805.45,-5.66,53.94,22.47,22.55,121.93,0
6.26,22.55,9.42,1611.53,2.02,29.63,12.16,11.91,82.54,1
-0.08,28.78,-0.38,1802.98,10.53,15.89,19.53,25.53,53.59,0
5.93,21.12,6.08,1664.71,4.29,30.51,12.82,16.0,109.59,1
-4.1,16.43,1.66,1197.01,6.33,50.48,15.69,4.25,54.54,0
6.45,21.37,6.61,1624.5,4.51,45.43,12.88,13.0,69.23,1
5.92,24.0,8.86,1640.96,1.92,25.76,11.25,15.8,69.96,1
6.19,24.59,6.89,1308.9,2.47,27.61,5.13,19.47,98.23,1
0.98,26.79,11.98,1196.85,14.8,57.56,2.25,2.53,55.99,0
5.7,22.11,9.1,1516.81,3.94,42.91,9.82,6.14,113.57,1
6.5,23.1,9.09,1506.27,3.12,46.7,7.91,14.17,116.63,1
1.2,28.82,-2.31,1198.88,8.99,59.19,23.78,24.24,126.55,0
5.66,23.51,8.29,1291.07,1.52,32.06,12.77,14.9,117.6,1
5.93,24.72,6.57,1305.66,2.43,29.43,11.87,12.52,70.59,1
-4.22,19.55,13.89,1801.07,-2.01,50.15,19.1,-1.55,56.17,0
0.2,15.15,3.24,1807.14,13.02,53.67,17.31,4.18,51.81,0
-0.65,18.14,-2.25,1190.89,7.35,12.08,-4.81,21.4,122.62,0
-4.11,18.0,-0.59,1197.21,-5.54,59.41,-1.26,4.37,50.37,0
6.33,23.42,7.66,1756.42,2.63,43.84,9.88,17.15,86.68,1
15.16,29.72,11.73,1193.25,9.04,13.11,19.04,21.75,51.29,0
5.68,21.54,8.72,1462.98,4.26,46.14,12.67,5.79,83.96,1
0.82,31.75,2.01,1192.75,0.56,19.04,20.69,28.56,129.91,0
6.33,24.8,6.92,1283.48,4.3,41.89,9.2,18.39,65.04,1
-4.18,27.96,19.83,1194.21,-0.85,12.94,22.69,23.3,55.2,0
5.96,23.85,7.57,1701.13,2.71,34.92,9.1,16.13,74.05,1
6.69,33.09,-0.66,1808.89,11.89,52.69,15.44,21.48,56.89,0
0.61,18.38,11.1,1807.57,-8.96,52.13,24.62,23.94,54.38,0
-2.69,16.65,15.66,1805.51,-1.72,59.65,0.84,26.7,53.05,0
6.11,21.19,9.77,1572.04,4.32,38.3,11.88,13.88,63.53,1
2.45,29.95,18.1,1801.69,-5.65,52.17,-3.97,27.24,50.87,0
5.88,23.25,7.66,1239.27,3.68,41.36,7.69,19.47,90.12,1
6.1,23.84,7.27,1495.06,4.9,20.66,14.58,16.72,94.11,1
7.57,13.23,11.68,1800.78,12.92,57.78,15.27,23.32,53.94,0
5.93,20.45,6.07,1531.12,3.01,30.93,6.86,6.04,113.04,1
5.82,21.71,6.01,1580.43,1.07,38.15,6.59,5.06,68.65,1
3.57,32.18,0.23,1192.21,-0.76,58.3,23.69,29.49,57.78,0
5.75,21.48,9.98,1455.73,4.92,36.23,10.38,14.96,107.67,1
6.16,23.19,6.82,1322.62,4.16,38.77,10.88,16.91,87.0,1
5.82,21.91,8.13,1738.19,4.52,34.98,13.04,9.82,97.58,1
5.91,20.75,9.04,1748.7,3.72,48.28,5.85,6.2,60.27,1
9.51,30.75,13.9,1191.41,13.95,56.72,1.65,-0.16,120.95,0
5.96,22.68,8.27,1462.25,1.89,38.68,7.56,17.97,119.34,1
-1.14,28.28,17.57,1803.98,-8.4,55.01,3.76,28.35,124.37,0
13.76,13.63,10.78,1192.76,-7.79,51.11,15.71,22.72,125.9,0
6.35,24.9,8.86,1462.67,1.01,22.95,5.97,6.62,112.27,1
5.77,23.81,6.9,1723.57,3.35,25.42,8.6,12.49,109.67,1
5.92,22.81,7.21,1754.0,3.74,30.09,5.36,19.88,108.73,1
5.82,20.38,6.08,1231.73,3.72,40.34,10.82,12.78,74.85,1
5.59,22.73,7.19,1589.9,3.67,39.56,9.02,7.0,97.46,1
5.7,21.15,8.64,1500.7,3.65,34.64,7.37,8.62,115.83,1
5.51,22.94,7.37,1209.47,4.5,31.43,7.46,9.43,60.98,1
